SAMPLE,POPULATION,ALPHA,GROUP,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HG02885,AFR,0.2,1000GP,0.0285249,0.00739626,0.00293562,-0.00348886,0.0150918,-0.0208754,0.0123384,0.00134334,-0.0357703,-0.00720667
HG02887,AFR,0.2,1000GP,0.0345146,0.000617966,0.00359276,-0.00292845,0.00101015,-0.00562013,0.0247911,0.026643,0.0272125,-0.0296627
HG02888,AFR,0.2,1000GP,0.033562,0.00672039,0.00475882,-0.00384727,-0.0347109,-0.0341689,0.0335625,0.0683556,-0.00663365,0.0362302
HG02890,AFR,0.2,1000GP,0.031279,0.00628514,-0.00997828,-0.000818592,0.0191779,-0.000150376,0.0165527,-0.0271986,0.0174026,-0.00333553
HG02891,AFR,0.2,1000GP,0.0321335,0.00300291,0.00817452,0.000199696,0.0200977,0.0245837,0.0430668,-0.00193038,-0.0310198,0.0105534
HG02895,AFR,0.2,1000GP,0.0364332,0.00678517,0.00503651,-0.00576403,-0.0187195,0.00509757,0.0348721,0.0140783,-0.044428,-0.0141339
HG02896,AFR,0.2,1000GP,0.0315161,-0.00361699,0.00577823,-0.0110388,-0.000290591,-0.0141531,0.024686,0.00428527,-0.0244438,0.024398
HG02922,AFR,0.2,1000GP,0.0355619,-0.00244706,-0.00766051,-0.0128325,0.0238354,-0.0135574,-0.014427,0.00598757,-0.0275393,-0.0235652
HG02923,AFR,0.2,1000GP,0.0333829,0.00642431,-0.00337974,0.00891867,0.0202466,-0.0197595,0.00769663,0.0475127,0.0168992,-0.0407226
HG02938,AFR,0.2,1000GP,0.0351471,0.00251491,0.00176744,0.00604476,0.0205645,0.0120107,-0.0110273,0.017831,0.0110352,0.026943
HG02941,AFR,0.2,1000GP,0.0272168,0.00470383,-0.0112936,-0.00591093,-0.0151903,-0.015228,-0.0121332,0.013911,0.0138061,0.0265603
HG02943,AFR,0.2,1000GP,0.0373416,0.000708656,-0.00297306,0.0207345,0.0180009,0.00136851,0.0185201,-0.00179949,-0.0125244,0.0119416
HG02944,AFR,0.2,1000GP,0.0350295,0.00143332,0.00275157,0.000474105,-0.0293656,0.0163143,-0.0318803,0.000638338,-0.0258658,-0.0112609
HG02946,AFR,0.2,1000GP,0.0385509,0.00189756,-0.0055024,-0.00930043,0.0115946,0.00433589,0.0261774,0.00588242,0.00297754,-0.0287527
HG02947,AFR,0.2,1000GP,0.0269466,-8.91E-05,0.00471721,0.00131158,-0.0142889,0.00596271,-0.00361249,0.0127242,0.0199012,-0.0264732
HG02952,AFR,0.2,1000GP,0.0367714,-0.00372839,0.00226307,0.00519911,0.00686563,0.0205516,0.0288711,-0.00500768,0.0115285,0.0188249
HG02953,AFR,0.2,1000GP,0.0281516,0.00810727,-0.00585595,0.00578802,-0.00633257,-0.00267888,0.00930685,-0.0445902,0.0169789,-0.0118683
HG02968,AFR,0.2,1000GP,0.0328338,0.00896121,0.00863952,0.00506821,-0.0210138,-0.00476217,-0.00912736,-0.0488837,0.0260669,-0.0268895
HG02970,AFR,0.2,1000GP,0.0308815,0.00139526,-0.00424707,-0.00851909,-0.0244454,0.00637191,-0.0139614,-0.0284946,0.0233281,-0.00160719
HG02971,AFR,0.2,1000GP,0.03707,0.00650986,-0.00382735,-0.0122778,0.00869003,0.00315664,0.000323934,0.0262361,0.000441542,-0.0272737
HG02973,AFR,0.2,1000GP,0.030876,-0.0018855,0.00638372,-0.00315034,0.0102438,0.00354554,-0.0117698,-0.0234138,-0.00648514,-0.0309848
HG02974,AFR,0.2,1000GP,0.0314514,-0.0029089,-0.00953423,-0.000712314,-0.0130154,0.0250879,-0.040583,-0.029556,0.0440271,0.00630902
HG02976,AFR,0.2,1000GP,0.0342285,-0.0059719,0.00503273,0.00743427,-0.00364083,-0.00292386,0.00355044,-0.0298855,-0.0211124,-0.000459586
HG02977,AFR,0.2,1000GP,0.0368636,0.000456128,0.00143209,0.00973275,-0.0122441,0.0340583,0.0223268,0.00284121,0.0164012,0.0099446
HG02979,AFR,0.2,1000GP,0.0327729,0.00904934,0.00257704,0.00740483,-0.00860263,0.00829905,-0.0117277,-0.0147783,-0.0342695,-0.00395045
HG02981,AFR,0.2,1000GP,0.0357129,-0.0124641,0.00153113,-0.00126991,0.0311332,0.00774187,-0.0190071,0.00473386,0.0136348,0.0113364
HG02982,AFR,0.2,1000GP,0.0248037,0.00401198,0.017081,-0.00155533,0.0138194,-0.0101306,0.0258625,-0.0146223,0.00980459,0.00292608
HG02983,AFR,0.2,1000GP,0.0314835,-0.00166398,-0.00702561,0.00254535,-0.00126998,-0.00249026,0.0153631,0.0405587,-0.0200032,0.0132823
HG03006,SAS,0.2,1000GP,-0.0187715,0.0102163,-0.0375814,0.00356628,-0.0161732,-0.007604,0.0195457,-0.0159221,-0.0247243,-0.0311508
HG03007,SAS,0.2,1000GP,-0.014141,0.00141627,-0.0312031,-0.0347442,-0.00588825,-0.0124913,0.0156903,-0.029492,0.0340271,0.00191011
HG03009,SAS,0.2,1000GP,-0.0141002,0.00249718,-0.0139755,-0.00256856,0.0257857,-0.00642039,-0.0231838,-0.0283626,0.000943536,-0.0279373
HG03012,SAS,0.2,1000GP,-0.00570603,-0.00114354,-0.0368919,-0.00652057,0.010854,0.0135964,0.0234269,0.0119245,-0.015789,-0.00287551
HG03015,SAS,0.2,1000GP,-0.0127694,-0.000600158,-0.0419243,-0.021404,0.0194247,-0.00124274,0.00163292,-0.00520637,0.0147627,0.00577476
HG03016,SAS,0.2,1000GP,-0.0178177,0.00430715,-0.0382114,-0.00198341,0.0175872,-0.00346947,0.00370037,-0.00650639,0.0106514,0.0277276
HG03018,SAS,0.2,1000GP,-0.0158385,0.009655,-0.0446676,-0.00762871,0.000865057,0.0151994,0.0115816,-0.0205635,-0.000762775,0.0218453
HG03019,SAS,0.2,1000GP,-0.00354648,0.0129632,-0.0501765,-0.00737468,0.0177592,-0.0169437,0.0307207,-0.0245257,0.00787905,0.0323035
HG03021,SAS,0.2,1000GP,-0.0164448,0.0080512,-0.0450848,-0.00525058,0.0342338,-0.00513517,-0.0223259,0.0593612,0.0488598,0.0226717
HG03022,SAS,0.2,1000GP,-0.0129417,0.00206205,-0.0292175,-0.00922922,0.00154277,-0.0210063,-0.0323327,-0.00734567,0.00734797,0.00605477
HG03024,AFR,0.2,1000GP,0.0376446,0.00102507,0.0102025,0.00016422,0.00719552,0.00156071,0.00308355,0.035648,0.0296345,-0.0292408
HG03025,AFR,0.2,1000GP,0.0345097,0.00626601,-0.0118526,0.0129193,0.00730662,-0.00113882,-0.00976307,-0.0169718,-0.00231716,-0.0433496
HG03027,AFR,0.2,1000GP,0.0335724,0.00781525,0.00606101,0.00283081,-0.035841,0.0277917,0.00628637,0.00389531,0.0180107,-0.0149793
HG03028,AFR,0.2,1000GP,0.0312746,0.00313916,0.000567112,0.000836743,-0.0146263,0.0295011,-0.0148634,-0.00321875,0.0213265,0.0188916
HG03039,AFR,0.2,1000GP,0.0356072,-0.00298456,0.00124029,0.0102607,0.0116848,0.016155,0.0039208,-0.0165336,0.021567,-0.00801361
HG03040,AFR,0.2,1000GP,0.0379592,-0.00596277,-0.00141787,-0.00473613,0.00417653,0.00590549,-0.00365564,-0.0295222,0.0155675,-0.00452566
HG03045,AFR,0.2,1000GP,0.030946,-5.25E-05,0.00131408,-0.0149727,-0.00411519,0.00978697,-0.0121874,0.0262326,0.00821868,-0.00477117
HG03046,AFR,0.2,1000GP,0.0297828,-0.00985943,-0.00158673,0.0057137,0.0327941,0.00816968,-9.53E-05,-0.010179,0.00848823,-0.0151999
HG03048,AFR,0.2,1000GP,0.0355431,0.00125471,-0.00282784,0.00913222,-0.0221919,-0.00430158,0.036687,0.0229054,-0.00411708,0.0344303
HG03049,AFR,0.2,1000GP,0.0353841,-0.00305611,-0.000484195,-0.00470203,0.0177271,-0.065125,0.0215436,0.0163149,-0.0215653,-0.0255712
HG03052,AFR,0.2,1000GP,0.0365424,-0.00905162,0.000203312,0.015184,-0.00733725,-0.00800736,0.0235925,0.00388042,0.0302446,0.00247342
HG03054,AFR,0.2,1000GP,0.037117,0.00361335,-0.00140488,-0.00991601,0.0108397,-0.0214627,0.0561777,0.0124252,-0.00868962,-0.00921635
HG03055,AFR,0.2,1000GP,0.0382631,0.00672104,0.00197974,0.00333547,-0.0274146,0.00584277,0.0188102,0.0320233,-0.0276179,-0.0194898
HG03057,AFR,0.2,1000GP,0.0368335,0.0127807,0.00199858,0.00385712,-0.00421166,-0.0184545,-0.0238194,-0.0116015,-0.00267392,0.0154997
HG03058,AFR,0.2,1000GP,0.032859,-0.000831224,-0.00240866,-0.00357129,-0.0078462,-0.0197641,-0.0156512,-0.00493936,0.0176587,-0.0109179
HG03060,AFR,0.2,1000GP,0.0308313,0.000418718,-0.0016397,-0.0184604,-0.0148688,0.000952197,-0.00313609,0.000289161,0.0199046,-0.0234377
HG03061,AFR,0.2,1000GP,0.042585,-0.00429965,0.00898337,-0.0113971,-0.0135477,-0.0226109,-0.0134359,0.0061619,-0.0409534,0.00665276
HG03063,AFR,0.2,1000GP,0.0410176,0.000805842,0.00294969,0.00744417,-0.0119886,0.0101891,0.0354215,0.00992331,0.0102896,0.0151671
HG03064,AFR,0.2,1000GP,0.0359463,0.00628817,-0.00265623,-0.00860231,0.038094,-0.00281516,0.0224193,0.00462502,0.016753,0.0121152
HG03066,AFR,0.2,1000GP,0.0378388,-0.00637373,-0.00183208,0.0135547,-0.0103805,-0.00197698,0.0318253,0.00283791,-0.000979629,-0.00104298
HG03069,AFR,0.2,1000GP,0.0351183,-0.00583462,-0.0037673,-0.0133676,0.00472086,0.0163313,0.0367832,0.000483607,-0.00770526,0.0221392
HG03072,AFR,0.2,1000GP,0.0362015,-0.00625479,0.00061991,0.0117074,0.0178529,0.00431424,-0.0380934,-0.000891935,0.00664338,0.0385932
HG03073,AFR,0.2,1000GP,0.0324131,-0.00951828,0.00177068,0.00644377,0.0101789,0.027459,0.00547047,0.0219306,0.0342656,0.0171802
HG03074,AFR,0.2,1000GP,0.0344656,-0.00534053,0.0170806,-0.00803654,0.0190606,-0.0131396,0.0646264,0.00237441,4.08E-05,-0.000756553
HG03077,AFR,0.2,1000GP,0.0303523,0.000409309,0.00790374,-0.0111915,0.0209567,0.0032916,0.0231294,0.0219853,0.00960508,-0.00514661
HG03078,AFR,0.2,1000GP,0.0315068,0.0101054,0.00476583,-0.00512348,-0.00324646,-0.00121925,0.0319286,-0.00541187,0.0308812,-0.0180647
HG03079,AFR,0.2,1000GP,0.0377413,0.000843918,0.00419565,0.00749447,-0.00631101,-0.00300684,0.00987403,-0.00694062,-0.0238902,-0.00564525
HG03081,AFR,0.2,1000GP,0.0322449,0.00329348,-0.00647178,-0.00220227,-0.028328,0.0207904,-0.0161477,-0.0348103,-0.0200997,-0.00846392
HG03082,AFR,0.2,1000GP,0.0357314,0.000830874,0.00454153,0.012918,0.0114641,0.00814486,0.0192955,0.00665188,0.00252357,-0.0135413
HG03084,AFR,0.2,1000GP,0.0296288,0.00607936,0.0191824,-0.00676625,-0.00637788,0.0134205,0.055886,0.0303341,-0.00947855,-0.00901127
HG03085,AFR,0.2,1000GP,0.0388216,-0.00374408,0.0049922,0.00396269,0.0182716,-0.0158252,0.000145912,0.00113346,0.0221411,-0.0446015
HG03086,AFR,0.2,1000GP,0.0361573,-0.00684518,0.00343039,0.00935104,0.00523705,-0.027311,0.0163947,-0.0105889,-0.011587,-0.00223344
HG03088,AFR,0.2,1000GP,0.0372899,-0.00970193,-0.00562589,0.0127134,0.0137442,-0.00370147,0.0229465,-0.0105848,0.0161463,0.0186816
HG03091,AFR,0.2,1000GP,0.0339581,0.00352887,-0.00322103,0.00560279,0.0112519,-0.00138333,0.022642,0.000447135,0.0195013,-0.0154678
HG03095,AFR,0.2,1000GP,0.0321622,-0.000675375,-0.00413942,-0.00175674,0.0174614,-0.00287702,0.0126656,0.00563382,0.0243472,-0.00286023
HG03096,AFR,0.2,1000GP,0.0306486,0.00477231,0.00160999,-0.0045182,-0.0138839,-0.00898175,-0.00355937,-0.0222189,0.0230917,0.0239494
HG03097,AFR,0.2,1000GP,0.0338427,0.00418463,0.00254849,-0.00124327,-0.0060198,-0.0107558,-0.00875237,-0.0237736,0.00551921,-0.0102854
HG03099,AFR,0.2,1000GP,0.0300534,0.00537071,-0.00990543,-0.00816168,-0.0181061,-0.0231545,-0.0181732,-0.000729234,0.0430931,-0.0214986
HG03100,AFR,0.2,1000GP,0.0363995,0.000307877,0.00532235,-0.00353885,-0.0291329,0.0166834,0.00849908,0.0365928,-0.0319355,0.0228664
HG03103,AFR,0.2,1000GP,0.0354111,-2.74E-05,0.000385375,-0.00352475,0.0103879,-0.0107254,-0.0200598,-0.0110949,0.0186535,0.0305296
HG03105,AFR,0.2,1000GP,0.0400639,-0.00166626,-0.0134066,0.0142426,0.003954,0.00498104,-0.027635,0.0099237,-0.0217718,-0.00144672
HG03108,AFR,0.2,1000GP,0.0348659,-0.00198042,0.00456045,0.00343765,-0.0109386,-0.0234695,-0.00555513,0.0267311,-0.00315454,-0.0126291
HG03109,AFR,0.2,1000GP,0.0344862,0.006964,0.00500899,-0.00111762,0.00761984,0.0143444,0.00447091,0.0105128,-0.000479065,0.0185289
HG03111,AFR,0.2,1000GP,0.0335148,0.00287608,-0.00757761,-0.00896724,-0.006654,0.0284146,-0.00882135,0.0145278,-0.0054134,0.0395652
HG03112,AFR,0.2,1000GP,0.0371233,0.00279563,0.00563412,0.000153701,-0.0169258,-0.00119855,-0.00373466,0.015865,-0.0358426,0.00174323
HG03114,AFR,0.2,1000GP,0.034831,0.00653744,-0.00577634,-0.000371081,-0.0121826,-0.00180481,-0.0150424,0.0199685,0.00603949,-0.0165782
HG03115,AFR,0.2,1000GP,0.0382643,0.00691747,-0.00592069,-0.00937763,-0.0056646,-0.00881942,-0.00588986,0.00888077,-0.0171552,0.00348704
HG03117,AFR,0.2,1000GP,0.0351146,0.0033949,-0.00887133,0.00063836,0.0285559,0.00750933,0.0146685,0.0192452,0.0415082,0.0118366
HG03118,AFR,0.2,1000GP,0.037857,-0.00539589,0.00531617,0.00801041,-0.0297216,-0.0201844,0.0127286,-0.0468762,0.015307,-0.0176848
HG03120,AFR,0.2,1000GP,0.0319799,0.00396661,-0.00632032,-0.00365963,-0.00712053,0.0165271,0.00600954,0.00151189,0.0336204,-0.01004
HG03121,AFR,0.2,1000GP,0.040323,-0.00209814,0.00262514,0.0132976,-0.0255823,0.00311038,0.0353907,0.021653,-0.00563843,0.00304047
HG03123,AFR,0.2,1000GP,0.0426611,0.00513556,0.0126576,-0.00125513,-0.0304823,0.00500422,-0.0127888,-0.0455762,-0.0145039,-0.0122941
HG03124,AFR,0.2,1000GP,0.0308406,0.00552842,0.00510997,0.010596,-0.0121846,-0.0215322,-0.00112989,-0.0061499,0.0128663,0.0094877
HG03126,AFR,0.2,1000GP,0.0380363,-0.00420932,-0.0217506,-0.00847488,0.0170364,-0.00738542,0.0102223,0.0210417,-0.024766,-0.0372558
HG03127,AFR,0.2,1000GP,0.0370365,0.00399763,0.0013245,-0.00595465,0.00862754,-0.0111761,-0.0168823,-0.0305156,-0.00557838,0.0111019
HG03129,AFR,0.2,1000GP,0.0352653,0.00188918,0.000650641,-0.0122638,-0.000204466,0.00138551,0.0340691,0.0309559,0.016155,-0.0179541
HG03130,AFR,0.2,1000GP,0.0385449,0.00460383,0.00477047,0.00944568,-0.00224756,0.0080336,0.0092049,0.0271499,0.00800452,0.0108494
HG03132,AFR,0.2,1000GP,0.0331972,-0.00661439,0.00247192,0.00262902,0.00870113,-0.0155199,0.0118781,-0.026911,-0.0207793,-0.00891048
HG03133,AFR,0.2,1000GP,0.035288,0.00512328,-0.00946544,-0.0029381,0.0322837,-0.00811152,0.0221659,0.0115838,0.00191994,-0.0245975
HG03135,AFR,0.2,1000GP,0.037791,-0.00458748,0.00190892,-0.00327291,0.0227116,-0.0267826,0.0118668,-0.0360617,0.00403398,-0.00518326
HG03136,AFR,0.2,1000GP,0.0347134,0.000995635,-0.0148669,0.00352782,-0.0147038,0.0119502,-0.0175871,0.00815615,-0.00955459,0.00102836
HG03139,AFR,0.2,1000GP,0.0328706,0.000879359,0.0027807,-0.0125515,0.0233212,-0.0113038,-0.0157095,0.0108846,0.00434528,-0.020254
HG03157,AFR,0.2,1000GP,0.034336,0.00339489,0.0149325,-0.0191847,0.0418386,-0.0191281,0.0222914,0.0116934,0.0190147,-0.0203424
HG03159,AFR,0.2,1000GP,0.0394902,0.011206,-0.014802,-0.00486817,-0.02728,-0.00714183,-0.0283948,0.0239185,0.0505263,0.00113818
HG03160,AFR,0.2,1000GP,0.0348703,-0.00740203,0.0119061,0.00905811,0.0192244,-0.0105901,-0.0125432,-0.00733402,-0.000812485,0.0555761
HG03162,AFR,0.2,1000GP,0.0391212,-0.000491041,-0.00443783,0.00620569,0.000683591,0.0160399,-0.00668635,0.0455417,-0.0117116,-0.0211694
HG03163,AFR,0.2,1000GP,0.0333628,0.0055709,0.00499653,-0.00504284,-0.00338219,0.00739187,-0.0359917,0.0120054,0.0212299,0.00789321
HG03166,AFR,0.2,1000GP,0.0356479,0.000312478,-0.0045304,0.00373125,0.00494439,0.000930395,-0.00344175,-0.0112155,-0.0409745,-0.00229193
HG03168,AFR,0.2,1000GP,0.0358264,0.00359323,0.00824607,-0.00375461,-0.0036054,0.00679699,-0.00930404,-0.0246449,-0.0339596,-0.0107295
HG03169,AFR,0.2,1000GP,0.0384652,-0.00828326,0.00657585,-0.00124486,0.0164236,-0.0255455,0.0116189,0.026489,-0.020691,0.012919
HG03172,AFR,0.2,1000GP,0.0291922,0.0143796,0.00161924,0.00989273,-0.00357908,-0.00502456,-0.00389191,-0.0037126,0.00704183,0.00305074
HG03175,AFR,0.2,1000GP,0.0341254,0.00390168,-0.0019582,0.00522664,0.0128347,0.0337164,-0.017086,-0.0176698,0.0254675,0.0376073
HG03189,AFR,0.2,1000GP,0.0384105,0.00146101,-0.00864817,-0.00091382,0.0213022,-0.0226292,-0.0305322,-0.00174169,-0.00615588,-0.0204079
HG03190,AFR,0.2,1000GP,0.0356529,0.00552598,0.000715761,-0.00739024,-0.0208083,0.0151231,-0.0174679,0.0187924,-0.0150045,-0.0160961
HG03193,AFR,0.2,1000GP,0.0363674,0.0010718,0.00777204,-0.00920183,0.0311295,0.0171587,-0.0235769,0.0255091,-0.0400925,0.000941054
HG03195,AFR,0.2,1000GP,0.0352498,0.0159162,-0.00574049,0.00595609,-0.00155039,-0.00955797,0.00212899,0.0317921,-0.032244,0.0318945
HG03196,AFR,0.2,1000GP,0.0326794,-0.00268201,-0.000714727,-0.0157804,0.0055698,-0.0116669,-0.0168689,-0.0302613,0.0132545,-0.0098238
HG03198,AFR,0.2,1000GP,0.0342119,0.0109252,-0.00686176,-0.00159176,-0.019168,0.00417866,0.0110787,-0.0164668,0.010639,0.013331
HG03199,AFR,0.2,1000GP,0.0301597,0.00244442,-0.00397315,0.0036936,0.0170767,-0.00634883,-0.008449,0.0169502,0.0233298,0.00881274
HG03202,AFR,0.2,1000GP,0.0287321,-0.0032694,0.0153958,-0.00171451,0.0147592,0.0116983,0.000474898,-0.00773454,-0.0140414,-0.0133766
HG03209,AFR,0.2,1000GP,0.0235402,-0.00417923,0.000445858,-0.00909968,0.0040065,0.0242325,-0.0125153,-0.0248702,0.0202432,0.0102493
HG03212,AFR,0.2,1000GP,0.035974,-0.00122321,-0.000760399,-0.0111305,0.00167297,-0.0216624,0.00162902,0.0247354,-0.0051582,-0.0322119
HG03224,AFR,0.2,1000GP,0.0359352,0.000129988,-0.00794942,-0.00807906,0.00474363,-0.0187231,0.0123215,-0.00607206,0.0050712,0.00747517
HG03225,AFR,0.2,1000GP,0.0336111,-0.00319115,0.00879924,-0.000756978,0.003249,0.0216963,0.00838911,-0.00225705,-0.00535648,0.0365486
HG03228,SAS,0.2,1000GP,-0.0102993,0.0123216,-0.0559223,-0.00407695,0.0170647,-0.0327882,0.00385446,0.0032685,0.00369139,-0.022752
HG03229,SAS,0.2,1000GP,-0.00602298,0.00391494,-0.0390767,-0.0123795,0.029109,0.0247114,0.0142768,0.0198183,0.0291835,0.0132565
HG03234,SAS,0.2,1000GP,-0.0140266,0.00368258,-0.0285766,-0.0050276,-0.00806043,0.0331735,-0.0172553,-0.0104959,-0.00692242,0.014796
HG03235,SAS,0.2,1000GP,-0.0121975,0.015758,-0.0188624,-0.0172443,-0.00045623,0.0155293,-0.0152681,0.00794954,0.019019,-0.0243437
HG03237,SAS,0.2,1000GP,-0.0163024,0.0153668,-0.0324441,-0.00205369,-0.0148072,0.018683,0.0207259,0.0207643,-0.0112656,-0.0393859
HG03238,SAS,0.2,1000GP,-0.00887674,0.0178961,-0.0258599,-0.0176868,-0.00379998,0.0090736,-0.00930823,0.0109764,0.0145697,-0.0147369
HG03240,AFR,0.2,1000GP,0.0393947,-0.00134807,0.018897,0.000108167,0.00149658,0.0158294,0.00989201,0.0107347,0.0126803,-0.0230366
HG03241,AFR,0.2,1000GP,0.038126,-0.00101859,0.00121195,-0.00452058,-0.00610767,0.00426886,0.0141523,0.0199635,0.024036,0.00917423
HG03246,AFR,0.2,1000GP,0.0297439,-0.00400235,0.014529,0.0169021,-0.00502465,-0.0010134,0.0213607,-0.00258329,0.0211877,-0.0164471
HG03247,AFR,0.2,1000GP,0.0325966,0.00327014,-0.00487551,0.0022941,0.00268761,0.00500451,0.0313158,0.00931929,-0.0276094,-0.0439523
HG03258,AFR,0.2,1000GP,0.0328326,0.00197011,-0.00245388,0.00664556,-0.00165938,-0.0160512,0.0347208,0.0366316,-0.0120725,0.017127
HG03259,AFR,0.2,1000GP,0.038792,0.00693617,-0.00161729,0.0106255,0.00245449,-0.00898632,-0.00383508,0.0310717,0.00355701,0.0460711
HG03265,AFR,0.2,1000GP,0.0385104,0.00427424,0.00693643,-0.00132245,-0.0166283,-0.00971631,0.00124769,0.025457,-0.0349076,0.0193856
HG03267,AFR,0.2,1000GP,0.0292413,0.0112639,-0.00162259,0.0129623,0.032817,-0.0286384,0.0106114,0.00764959,-0.0131594,0.0176589
HG03268,AFR,0.2,1000GP,0.0317392,-0.00172094,0.00119094,0.00273097,0.00571526,-0.0157319,0.00976187,-0.0138346,-0.0221858,0.0178499
HG03270,AFR,0.2,1000GP,0.0389215,-0.0029688,-0.000107301,0.0114595,-0.00616416,-0.00770185,0.00471609,0.0267669,-0.0414922,0.0415058
HG03271,AFR,0.2,1000GP,0.0302267,0.00807817,-0.0159383,-0.00128649,-0.00689507,0.0056624,0.0143742,0.0131585,0.00906251,0.037853
HG03279,AFR,0.2,1000GP,0.030301,-0.00687554,0.00192215,0.00456716,-0.0437278,-0.0233058,-0.0125777,-0.00979034,-0.0263672,-0.0159822
HG03280,AFR,0.2,1000GP,0.035809,0.00110181,0.019578,-0.00882616,0.00822782,-0.0162627,-0.0145498,0.0569196,0.00670333,0.0123783
HG03291,AFR,0.2,1000GP,0.0291493,0.00632182,0.00350791,-0.00403145,-0.00123953,-0.00372492,0.000747373,-0.0121613,0.00569294,-0.0118714
HG03294,AFR,0.2,1000GP,0.041658,-0.00177158,-0.00712029,0.00487371,-0.00575011,-0.0232352,-0.0117044,0.00356408,-0.039902,-0.0169997
HG03295,AFR,0.2,1000GP,0.037623,0.00258441,-0.00102718,-0.00577596,-0.0191611,0.0195451,0.0333621,0.00520687,-0.00808608,-0.0112989
HG03297,AFR,0.2,1000GP,0.0428085,0.00203245,-0.00291777,-0.00402622,-0.000822123,-0.00529449,0.0122958,0.00827141,-0.00882823,-0.0375358
HG03298,AFR,0.2,1000GP,0.0362353,-0.00204994,0.00190651,-0.000410346,0.0112262,-0.0169014,-0.0113225,0.0377171,-0.0331842,0.00381756
HG03300,AFR,0.2,1000GP,0.0403193,0.002282,0.00395973,0.00191383,-0.00868824,0.00391986,-0.0124092,-0.0415231,0.0421693,0.0351616
HG03301,AFR,0.2,1000GP,0.0368934,0.00305609,0.00789686,-0.00204267,0.0234113,-0.0323489,-0.0190524,-0.0208339,0.034927,0.00299201
HG03303,AFR,0.2,1000GP,0.0358454,0.00657329,0.00327731,-0.0206738,0.0193247,0.0134471,0.0162284,0.0229189,-0.0116441,0.0134893
HG03304,AFR,0.2,1000GP,0.0370207,-0.00102869,0.00182679,-0.00118462,0.024053,-0.0151488,-0.0136022,0.0396097,-0.0317715,0.000179833
HG03311,AFR,0.2,1000GP,0.0348646,0.00654046,-0.0017055,-0.00958543,0.0398746,-0.0236644,-0.000838993,-0.0325447,-0.0207626,-0.0110878
HG03313,AFR,0.2,1000GP,0.0345217,0.00940382,-0.0074796,-0.00224355,0.0151116,-0.0100489,-0.0135117,-0.00531239,-0.022683,-0.00399387
HG03342,AFR,0.2,1000GP,0.0387638,0.00916887,0.00957261,-0.00565083,-0.0168191,0.0002188,0.0070166,0.0125033,0.0152857,-0.0335903
HG03343,AFR,0.2,1000GP,0.0382878,-0.000754825,-0.00489172,0.000427507,-0.0158214,-0.010787,0.0010318,0.020875,-0.0112085,0.0298989
HG03351,AFR,0.2,1000GP,0.0344965,0.00325962,-0.000494773,-0.0038454,0.00740139,0.00105049,-0.00107732,0.00640318,0.0168415,0.00312505
HG03352,AFR,0.2,1000GP,0.0334722,0.00871444,-0.0098051,0.00534329,0.00168372,-0.0261828,-0.0112314,0.00248239,0.00348777,0.0322109
HG03354,AFR,0.2,1000GP,0.0292828,-0.00566299,0.00321825,-0.00397557,0.0150616,-0.00866774,0.0372672,0.0130139,0.00163443,0.0219011
HG03363,AFR,0.2,1000GP,0.0277547,0.00735749,0.00981233,0.00518309,0.00348531,-0.0226839,-0.00376321,0.0254862,-0.00882407,-0.00552364
HG03366,AFR,0.2,1000GP,0.0371545,-0.000469344,0.00900701,-0.0110511,0.0182429,-0.00664146,-0.0431272,0.00124543,0.0198878,-0.00461344
HG03367,AFR,0.2,1000GP,0.0337294,0.00211843,-0.0015929,0.00236611,0.00568074,-0.0191197,-0.00266889,-0.018229,-0.0158895,0.0130939
HG03369,AFR,0.2,1000GP,0.0340288,-0.0057187,0.00846872,0.00258159,0.00744249,0.00109867,-0.0196114,0.0168734,0.0294611,0.0171004
HG03370,AFR,0.2,1000GP,0.0345035,-0.00742179,-0.0147136,0.00576399,-0.00687201,0.00167509,-0.0473065,0.00672768,-0.001978,0.00275388
HG03372,AFR,0.2,1000GP,0.0378594,-0.000402169,0.0022908,-0.0160603,-0.00895067,-0.010196,-0.0127907,-0.0242971,0.0159296,0.0116152
HG03376,AFR,0.2,1000GP,0.0344062,0.00142522,-0.000954691,0.0101093,0.0267537,-0.00616814,0.025394,-0.00498156,0.00128867,-0.00597398
HG03378,AFR,0.2,1000GP,0.0300748,-0.00200069,-0.00332633,-0.00742798,-0.00429418,0.000110304,0.00143372,-0.0106169,0.00440072,0.0178207
HG03380,AFR,0.2,1000GP,0.0394725,0.00113303,0.0127643,-0.0164445,0.0125511,-0.0105094,0.0193841,-0.0140991,-0.00533259,0.00738991
HG03382,AFR,0.2,1000GP,0.0306239,-0.0043615,0.00320728,-0.00474491,0.0391464,0.0174836,0.0352748,0.0327046,0.0111584,0.0259585
HG03385,AFR,0.2,1000GP,0.0323791,0.00594998,-0.00420525,0.00875207,-0.0195422,0.00312841,-0.00373797,0.012285,-0.00547161,0.036579
HG03388,AFR,0.2,1000GP,0.0308883,-0.0025537,0.00645518,0.000466933,0.00707773,0.0038406,-0.0204352,0.0317544,0.0222002,0.0276974
HG03391,AFR,0.2,1000GP,0.0397492,-0.00542633,0.00146383,0.00842913,-0.00553699,0.00525099,0.00970385,0.0116652,0.00164978,-0.0297583
