SAMPLE,POPULATION,ALPHA,GROUP,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HG00257,EUR,0.2,1000GP,-0.00952641,0.0220537,0.0117211,0.0226847,0.0125043,-0.01554,0.0196253,0.000416445,0.0534343,0.0191849
HG00258,EUR,0.2,1000GP,-0.0205221,0.0285088,0.00954691,0.0334237,-0.00950998,-0.00517993,0.0319926,0.0231617,0.0247558,0.00433112
HG00259,EUR,0.2,1000GP,-0.0131676,0.0120846,0.0135944,0.0124966,-0.00694149,0.011976,-0.000644343,-0.0472376,0.0232117,0.0048584
HG00260,EUR,0.2,1000GP,-0.00982349,0.0151576,0.00610105,0.0290502,-0.00287315,-0.00578339,0.000665358,0.0151098,-0.00520481,-0.0182314
HG00261,EUR,0.2,1000GP,-0.0182645,0.0134985,0.00208008,0.00641217,0.0138917,-0.00604094,0.0179018,0.0120152,0.0453457,-0.0359773
HG00262,EUR,0.2,1000GP,-0.0170724,0.0177723,0.00438925,0.0248531,-0.00926783,-0.0172191,0.00218984,-0.057558,0.0289027,0.0312638
HG00263,EUR,0.2,1000GP,-0.0110298,0.0181368,0.0233468,0.0141722,-0.0160351,0.0119946,-0.0236959,-0.00539833,-0.0123149,-0.0107593
HG00264,EUR,0.2,1000GP,-0.0195215,0.0185719,0.0300752,0.0224229,-0.0344469,0.0153009,0.0231271,-0.0102048,-0.0281045,0.0170219
HG00265,EUR,0.2,1000GP,-0.0114853,0.0264078,0.0135649,0.0049704,0.0048411,0.00656129,0.000699344,-0.00588614,-0.00427433,0.0351109
HG00266,EUR,0.2,1000GP,-0.0135608,0.00878408,0.0197157,0.0138325,0.031981,-0.0268409,-0.00508541,0.0029161,0.0220848,-0.0124224
HG00267,EUR,0.2,1000GP,-0.0125657,0.0190742,0.0276602,0.00721928,0.0255773,-0.0425603,0.00234861,-0.0255616,-0.00706445,-0.0270759
HG00268,EUR,0.2,1000GP,-0.0140925,0.0188519,0.0272402,0.0126419,-0.00786525,-0.0150917,-0.00964723,-0.0101022,0.0101123,0.00923059
HG00269,EUR,0.2,1000GP,-0.0147832,0.024847,0.0359389,0.0164234,-0.00720473,-0.0166022,-0.0269542,-0.0402392,-0.017135,0.0200131
HG00271,EUR,0.2,1000GP,-0.0143635,0.0232145,0.0201398,0.00958887,0.0105045,-0.0746634,-0.00179957,0.000412283,0.0138479,0.015341
HG00272,EUR,0.2,1000GP,-0.0148624,0.0165771,0.0118502,0.0176594,0.00741948,-0.0617291,-0.00220399,-0.00326016,0.00924085,0.0046785
HG00273,EUR,0.2,1000GP,-0.0237478,0.0118175,0.0148104,-0.00555076,-0.0132762,-0.0573919,-0.0203628,0.0183882,-0.00777069,-0.0120384
